horizon5-12,,,,,horizon 5-8,,,,,horizon 9-12,,,,,horizon 1-12,,,
,BIC,AIC,AUC,,,BIC,AIC,AUC,,,BIC,AIC,AUC,,,BIC,AIC,AUC
null / intercept,0,0,0.6489,,null / intercept,0,0,0.6542,,null / intercept,0,0,0.6431,,null / intercept,0,0,0.6513
c.ma1,-96.29798574,-102.3261148,0.694872645,,c.ma1,-6.916768212,-12.88647179,0.695910945,,c.ma1,-39.19616676,-45.18978676,0.69707163,,c.bn620,-128.6513543,-134.7128412,0.701091747
c.bn620,-77.69366548,-83.72179454,0.689956385,,c.bn620,-6.185045919,-12.1547495,0.685060927,,c.hp400k1,-40.44640481,-46.44002481,0.675996598,,c.ma1,-152.9704706,-159.0319575,0.698575862
c.hp400k1,-93.46891889,-99.49704795,0.680699581,,c.bn5,-13.73918844,-19.70889202,0.684980407,,c.bn620,-22.11128801,-28.10490801,0.672340224,,c.bn6,-167.6330335,-173.6945203,0.694240781
c.bn6,-102.9874631,-109.0155922,0.672623866,,c.bn515,-5.053229171,-11.02293275,0.682927157,,c.bn8,-26.48509941,-32.4787194,0.664024337,,c.hp400k1,-149.4568629,-155.5183498,0.692033643
c.bn220,-78.17172284,-84.1998519,0.672236567,,c.bn215,-5.547104066,-11.51680765,0.6780423,,c.hamilton28t1,-27.10285284,-33.09647284,0.664006164,,c.hp221k1,-124.8637465,-130.9252333,0.680340287
c.hp221k1,-78.42562015,-84.45374921,0.669127704,,c.bn520,-2.063942194,-8.033645778,0.671788609,,c.hp221k1,-33.21485122,-39.20847121,0.662883083,,c.bn4,-144.8203686,-150.8818555,0.673706247
c.bn4,-129.5443125,-135.5724416,0.668079204,,c.hp400k1,-5.784715774,-11.75441936,0.668769123,,c.bn4,-59.48868023,-65.48230023,0.658619737,,c.bn615,-35.76349012,-41.82497699,0.669848634
c.bn615,-33.98921549,-40.01734455,0.665380321,,c.bn6,-9.837104889,-15.80680847,0.668379945,,c.bn220,-23.29565415,-29.28927414,0.655072401,,c.bn8,-105.8283454,-111.8898322,0.668240625
c.bn610,3.451397595,-2.576731465,0.664754013,,c.bn7,-14.17407872,-20.1437823,0.668124966,,c.bn820,-20.77670637,-26.77032636,0.654603542,,c.bn520,-105.7747698,-111.8362566,0.667150255
c.bn2,-103.7616671,-109.7897961,0.660387299,,c.bn720,-10.42460691,-16.39431049,0.667037952,,c.bn6,-37.7622001,-43.75582009,0.652012096,,c.hp125k1,-100.9590491,-107.020536,0.665414846
c.bn215,-59.68225292,-65.71038198,0.657643057,,c.bn220,-9.310073427,-15.27977701,0.666782973,,c.bn610,7.252694399,1.259074404,0.650863573,,c.bn5,-151.3652985,-157.4267854,0.663895214
c.hamilton28t1,-57.77244141,-63.80057047,0.65685799,,c.hp221k1,-3.732469394,-9.702172977,0.657295078,,c.hp125k1,-26.11303853,-32.10665852,0.648519278,,c.stm1,-98.00501055,-104.0664974,0.662414607
c.bn420,-73.5108652,-79.53899425,0.655172715,,c.bn510,7.449388239,1.479684655,0.656543561,,c.stm1,-25.49879853,-31.49241853,0.645237264,,c.bn7,-171.5170446,-177.5785314,0.6605495
c.hp125k1,-63.756359,-69.78448806,0.65506455,,c.bn4,-17.23174324,-23.20144682,0.656248323,,c.bn815,4.179028424,-1.81459157,0.645124593,,c.bn720,-169.4085042,-175.469991,0.659865437
c.bn8,-84.10931055,-90.13743961,0.654834264,,c.bn415,-1.676289338,-7.645992921,0.655147888,,c.hamilton24_panel,-18.14715421,-24.14077421,0.644459467,,c.linear20,-95.14964965,-101.2111365,0.658537481
c.bn520,-67.54359978,-73.57172884,0.653939288,,c.bn2,-15.65226861,-21.62197219,0.653242257,,c.bn2,-38.73699008,-44.73061007,0.644415853,,c.bn420,-84.2466848,-90.30817167,0.657930317
c.stm1,-62.25012902,-68.27825808,0.65241277,,c.hamilton28t1,-0.867621372,-6.837324956,0.651511085,,c.linear20,-21.76496184,-27.75858183,0.644321354,,c.bn320,-138.9514125,-145.0128994,0.654173706
c.bn315,-106.9098894,-112.9380185,0.650910677,,c.hamilton28_panel,0.095379293,-5.87432429,0.650907188,,c.bn520,-15.66214896,-21.65576895,0.643856129,,c.hamilton28t1,-81.29718181,-87.35866868,0.653628521
c.bn415,-73.88915357,-79.91728263,0.649788904,,c.bn615,5.848454169,-0.121249415,0.649350475,,c.hamilton28_panel,-16.49667032,-22.49029032,0.64305289,,c.hamilton28_panel,-78.43583479,-84.49732166,0.651319233
c.bn320,-106.6074798,-112.6356089,0.649152128,,c.quad2,0.074558087,-5.895145496,0.64403618,,c.bn615,0.274395395,-5.7192246,0.64146095,,c.bn515,-110.5444868,-116.6059737,0.65097261
c.bn5,-103.0410244,-109.0691535,0.648920098,,c.hp125k1,-1.757775953,-7.727479536,0.642237909,,c.bn420,-19.62630114,-25.61992113,0.640708595,,c.quad2,-77.29429093,-83.3557778,0.650561713
c.hamilton28_panel,-47.7056967,-53.73382576,0.648852059,,c.bn715,-16.42511845,-22.39482203,0.641432712,,c.bn5,-39.63385727,-45.62747726,0.638629623,,c.bn820,-33.46140169,-39.52288856,0.649691712
c.bn515,-85.58910593,-91.61723499,0.644665038,,c.stm1,-1.557437992,-7.527141575,0.639594181,,c.bn215,-14.30467543,-20.29829542,0.637779135,,c.bn610,-0.702116795,-6.763603662,0.648936488
c.linear20,-56.85478565,-62.88291471,0.64442254,,c.hamilton13t10,3.327914193,-2.641789391,0.638346127,,c.hamilton20_panel,-28.48100493,-34.47462493,0.636932281,,c.hamilton24_panel,-85.42533821,-91.48682507,0.645506988
c.bn7,-114.615967,-120.644096,0.64371598,,c.bn420,0.786446211,-5.183257373,0.637366472,,c.hamilton24t1,-14.36283768,-20.35645767,0.634617062,,c.bn315,-128.1171022,-134.178589,0.643986209
c.bn720,-114.4442085,-120.4723375,0.643215283,,c.bn315,-10.00333824,-15.97304182,0.636292877,,c.quad2,-17.06745279,-23.06107278,0.634388084,,c.bn415,-79.84330028,-85.90478715,0.64295667
c.quad2,-47.89550506,-53.92363412,0.643037334,,c.hamilton24t1,1.956521692,-4.013181891,0.635809759,,c.bn7,-46.92880953,-52.92242952,0.633395848,,c.linear15,-62.51297875,-68.57446562,0.639538647
c.bn820,-53.05315477,-59.08128383,0.640764131,,c.linear15,1.185362896,-4.784340687,0.635393741,,c.bn720,-34.41797788,-40.41159787,0.63249811,,c.bn215,-12.13034603,-18.1918329,0.638384003
c.hamilton24_panel,-47.98316031,-54.01128937,0.639996511,,c.bn610,7.726260723,1.756557139,0.635071662,,c.bn320,-34.98850307,-40.98212307,0.631538585,,c.bn715,-142.2200287,-148.2815156,0.637245427
c.linear15,-40.14687092,-46.17499998,0.635163992,,c.bn210,-3.717164366,-9.686867949,0.635058243,,c.linear15,-14.11735682,-20.11097681,0.631502239,,c.hp25k10,-37.5862825,-43.64776937,0.634195261
c.hamilton24t1,-35.80022235,-41.8283514,0.634511514,,c.hp221k10,3.324715753,-2.64498783,0.632689624,,c.bn515,-32.48802588,-38.48164587,0.630764422,,c.hp221k10,-37.5862825,-43.64776937,0.634192392
c.bn3,-103.1515825,-109.1797116,0.623621773,,c.hp400k10,3.324715753,-2.64498783,0.632689624,,c.bn415,-30.01337454,-36.00699454,0.630488195,,c.hp3k10,-37.5862825,-43.64776937,0.63419067
c.bn715,-122.315736,-128.343865,0.623162945,,c.hp10,3.324715753,-2.64498783,0.632689624,,c.bn315,-37.18703759,-43.18065759,0.626359328,,c.hp125k10,-37.5862825,-43.64776937,0.63419067
c.bn310,-55.1736306,-61.20175966,0.621074669,,c.hp25k10,3.324715753,-2.64498783,0.632689624,,c.hamilton20t1,-7.570283367,-13.56390336,0.62211052,,c.hp10,-37.5862825,-43.64776937,0.634189522
c.hp25k10,-16.19242656,-22.22055562,0.618505757,,c.hp125k10,3.324715753,-2.64498783,0.632689624,,c.hamilton13t10,-5.19882706,-11.19244706,0.619453652,,c.hp400k10,-37.5862825,-43.64776937,0.634188375
c.hp221k10,-16.19242656,-22.22055562,0.618501396,,c.hp3k10,3.324715753,-2.64498783,0.632689624,,c.bn715,-54.93579596,-60.92941595,0.6164515,,c.bn3,-139.7848318,-145.8463187,0.63338437
c.hp125k10,-16.19242656,-22.22055562,0.618500523,,c.linear20,-0.431173036,-6.40087662,0.632253476,,c.hp25k10,-2.138434329,-8.132054324,0.616102582,,c.hamilton24t1,-52.18272649,-58.24421336,0.628522469
c.hp3k10,-16.19242656,-22.22055562,0.618497906,,c.bn320,-9.752623438,-15.72232702,0.626778142,,c.hp221k10,-2.138434329,-8.132054324,0.616093496,,c.hp25k15,-22.13090224,-28.19238911,0.620770513
c.hp400k10,-16.19242656,-22.22055562,0.618497906,,c.hamilton24_panel,1.384483018,-4.585220566,0.625181169,,c.hp125k10,-2.138434329,-8.132054324,0.616089861,,c.hp15,-22.13090224,-28.19238911,0.620770513
c.hp10,-16.19242656,-22.22055562,0.618497906,,c.hamilton20t1,3.553703795,-2.415999788,0.620027913,,c.hp10,-2.138434329,-8.132054324,0.616088044,,c.hp221k15,-22.13090224,-28.19238911,0.620770513
c.hamilton20t1,-22.57845826,-28.60658732,0.61824843,,c.hamilton20_panel,-0.870966383,-6.840669967,0.617411026,,c.hp400k10,-2.138434329,-8.132054324,0.616088044,,c.hp125k15,-22.13090224,-28.19238911,0.620770513
c.bn210,-52.17699301,-58.20512207,0.617498255,,c.hamilton24t20,4.189438916,-1.780264667,0.609224864,,c.hp3k10,-2.138434329,-8.132054324,0.616082592,,c.hp400k15,-22.13090224,-28.19238911,0.620769939
c.hamilton20_panel,-46.75279543,-52.78092449,0.616688765,,c.bn3,-9.004113859,-14.97381744,0.608191529,,c.bn310,-27.80938238,-33.80300238,0.614129013,,c.hp3k15,-22.13090224,-28.19238911,0.620769365
c.hp15,-9.547458166,-15.57558723,0.613777913,,c.hp25k1,2.742602708,-3.227100875,0.604165548,,c.hamilton24t20,-4.05455817,-10.04817817,0.608106536,,c.hp25k1,-45.78035987,-51.84184673,0.611323319
c.hp25k15,-9.547458166,-15.57558723,0.613777913,,c.bn310,-1.316677568,-7.286381151,0.603695851,,c.bn210,-18.64604431,-24.6396643,0.607328739,,c.hamilton20t1,-35.30716014,-41.36864701,0.611099506
c.hp125k15,-9.547458166,-15.57558723,0.613777913,,c.hamilton28t20,4.725813726,-1.243889857,0.602474636,,c.bn3,-38.26374639,-44.25736639,0.605402419,,c.hamilton20_panel,-51.98106273,-58.0425496,0.607518502
c.hp221k15,-9.547458166,-15.57558723,0.613777913,,c.poly615,7.357926129,1.388222546,0.601293682,,c.hp25k1,-9.598955226,-15.59257522,0.605042597,,c.hamilton24t20,-25.79028212,-31.85176898,0.595799895
c.hp3k15,-9.547458166,-15.57558723,0.613777041,,c.bn820,-0.112189134,-6.081892718,0.601266842,,c.hamilton28t20,-1.360821138,-7.354441133,0.600757444,,c.hamilton28t20,-23.94432571,-30.00581257,0.594116135
c.hp400k15,-9.547458166,-15.57558723,0.613777041,,c.bn8,0.079292257,-5.890411327,0.600716625,,c.hamilton13t1,-0.24837505,-6.241995045,0.599405385,,c.bn210,-48.62800834,-54.68949521,0.593459617
c.hamilton13t10,-16.6521755,-22.68030456,0.612876832,,c.hamilton13t1,5.174558656,-0.795144927,0.592570723,,c.hp15,0.731616266,-5.262003729,0.594287916,,c.bn310,-53.8345162,-59.89600307,0.589239312
c.hp25k1,-29.62727813,-35.65540719,0.611959177,,c.linear10,4.644555552,-1.325148031,0.59117505,,c.hp25k15,0.731616266,-5.262003729,0.594287916,,c.hamilton13t1,-13.27706836,-19.33855522,0.584340682
c.bn510,2.728899292,-3.299229767,0.61077111,,c.hp3k15,7.706605954,1.73690237,0.59110124,,c.hp221k15,0.731616266,-5.262003729,0.594286099,,c.bn410,4.887068728,-1.174418139,0.580065284
c.hamilton24t20,-17.60395793,-23.63208699,0.606612003,,c.hp221k15,7.706605954,1.73690237,0.59110124,,c.hp400k15,0.731616266,-5.262003729,0.594286099,,c.hamilton13t10,-9.433839217,-15.49532608,0.579305469
c.hamilton28t20,-13.36374706,-19.39187612,0.6002582,,c.hp125k15,7.706605954,1.73690237,0.59110124,,c.hp125k15,0.731616266,-5.262003729,0.594286099,,c.hamilton20t20,-18.85853284,-24.92001971,0.575742829
c.bn410,7.338785684,1.310656624,0.600186671,,c.hp400k15,7.706605954,1.73690237,0.59110124,,c.hp3k15,0.731616266,-5.262003729,0.594284281,,c.bn710,4.273317327,-1.78816954,0.575438673
c.hamilton13t1,-7.935080467,-13.96320953,0.591521284,,c.hp15,7.706605954,1.73690237,0.59110124,,c.hamilton20t20,-1.985080102,-7.978700097,0.593321121,,c.linear10,-20.71354325,-26.77503012,0.575218877
c.hamilton20t20,-11.70210437,-17.73023343,0.586163643,,c.hp25k15,7.706605954,1.73690237,0.59110124,,c.bn510,6.034325972,0.040705977,0.59245246,,c.poly615,3.878149485,-2.183337382,0.560980369
c.linear10,-12.1168209,-18.14494995,0.579536811,,c.hamilton24t15,4.838220926,-1.131482658,0.590745612,,c.bn410,7.905572783,1.911952788,0.588407188,,c.poly410,3.485016752,-2.576470115,0.560815092
c.poly615,4.794806545,-1.233322514,0.574176553,,c.hamilton20t20,4.825437988,-1.144265595,0.589806216,,c.hamilton20t15,-0.778497272,-6.772117267,0.588359938,,c.hamilton13t20,-3.736306952,-9.797793819,0.56053963
c.hamilton20t15,-6.641825811,-12.66995487,0.574171319,,c.bn410,7.734126908,1.764423325,0.588155564,,c.poly310,4.946528137,-1.047091858,0.587211415,,c.hamilton20t15,-10.18410431,-16.24559118,0.559868192
c.hamilton24t15,-9.691922646,-15.72005171,0.573311235,,c.quad20,7.036376399,1.066672816,0.577862472,,c.poly520,3.430723633,-2.562896362,0.58508156,,c.hamilton24t15,-11.43424474,-17.49573161,0.556274562
c.hamilton13t20,-2.892407582,-8.920536642,0.569769714,,c.hamilton20t15,6.313955458,0.344251874,0.573688872,,c.hamilton13t20,1.869163098,-4.124456897,0.58055289,,c.hp3k1,-9.066558362,-15.12804523,0.555857926
c.hp3k1,-6.530660429,-12.55878949,0.569560363,,c.hamilton13t20,5.86281136,-0.106892223,0.572642117,,c.hamilton24t15,-1.280854226,-7.274474221,0.578070482,,c.quad20,2.307998637,-3.75348823,0.550183412
c.quad20,2.41215496,-3.6159741,0.567569784,,c.poly310,7.17002906,1.200325477,0.570669386,,c.poly415,5.438682992,-0.554937003,0.576227756,,c.linear2,-21.4641825,-27.52566936,0.548931208
c.hp1,-3.726491814,-9.754620873,0.566116539,,c.hamilton13t15,5.943914846,-0.025788737,0.567998819,,c.hamilton13t15,1.875946976,-4.117673019,0.57443955,,c.hp1,-4.14955521,-10.21104208,0.547929215
c.hamilton13t15,-2.118810672,-8.146939732,0.562266225,,c.hamilton28t15,6.406180302,0.436476718,0.566549466,,c.hp3k1,0.807246013,-5.186373982,0.573338276,,c.hamilton13t15,-1.678259593,-7.739746459,0.544005032
c.poly310,4.943635444,-1.084493615,0.553663643,,c.poly420,7.550850625,1.581147042,0.566361587,,c.hp1,1.555835778,-4.437784217,0.572607729,,c.poly6,6.107510262,0.046023395,0.542211086
c.bn710,5.261081475,-0.767047584,0.553487439,,c.bn815,6.165707036,0.196003453,0.560483655,,c.linear10,0.28841366,-5.705206335,0.571192065,,c.poly610,6.526359453,0.464872586,0.537735979
c.poly410,6.794825339,0.76669628,0.55258723,,c.poly410,7.647759917,1.678056334,0.560121316,,c.poly610,6.274150824,0.280530829,0.567784659,,c.poly420,6.967317706,0.905830839,0.536597403
c.hamilton28t15,-4.039419735,-10.06754879,0.551837055,,c.hamilton20t10,7.536259386,1.566555803,0.559973697,,c.quad20,5.462007927,-0.531612067,0.566810595,,c.hamilton28t15,-6.467324121,-12.52881099,0.536006308
c.poly415,5.67940708,-0.34872198,0.550929867,,c.quad10,7.632644564,1.66294098,0.558846422,,c.hamilton28t15,4.381681725,-1.61193827,0.550778524,,c.poly620,6.329917637,0.26843077,0.535238458
c.poly420,6.546496114,0.518367054,0.54918702,,c.poly415,7.519515025,1.549811441,0.557813087,,c.poly510,7.345322429,1.351702434,0.546631484,,c.bn810,3.980046904,-2.081439962,0.535043339
c.poly520,4.346168716,-1.681960344,0.548731682,,c.hp3k1,5.849652339,-0.120051244,0.556981051,,c.hamilton20t10,5.195061791,-0.798558204,0.545290329,,c.poly320,5.690079322,-0.371407545,0.534670318
c.poly610,6.707445626,0.679316567,0.545525122,,c.poly315,7.728166036,1.758462453,0.556269794,,c.poly615,7.719427977,1.725807982,0.544559781,,c.stm15,7.172572226,1.111085359,0.530248581
c.quad10,6.817111631,0.788982571,0.542734648,,c.poly510,7.610897292,1.641193709,0.552471952,,c.poly315,7.808404551,1.814784556,0.540129245,,c.hamilton20t10,5.606929088,-0.454557779,0.526073613
c.poly315,7.329482916,1.301353857,0.541819609,,c.hp1,6.274630937,0.304927354,0.55090182,,c.poly420,7.658842689,1.665222695,0.539823942,,c.hamilton28t10,7.98453318,1.923046313,0.525903744
c.poly510,6.574505401,0.546376342,0.540127355,,c.poly520,7.386528583,1.416824999,0.549452467,,c.poly515,6.909581054,0.915961059,0.536156664,,c.poly315,7.900207394,1.838720528,0.524548243
c.hamilton20t10,4.804222482,-1.223906578,0.538108863,,c.bn810,7.964417454,1.994713871,0.547399216,,c.quad10,7.726987225,1.73336723,0.535953129,,c.quad10,7.386232553,1.324745687,0.523402206
c.stm15,7.278485473,1.250356413,0.531099965,,c.bn710,7.962457553,1.99275397,0.54448709,,c.poly320,6.738918448,0.745298453,0.531566207,,c.poly515,7.209603507,1.14811664,0.523042384
c.linear2,-5.799493035,-11.82762209,0.530795534,,c.hamilton24t10,7.576012593,1.60630901,0.541011326,,c.bn810,-0.439044639,-6.432664634,0.527328303,,c.stm20,4.503448219,-1.558038648,0.522133934
c.poly320,6.693897144,0.665768085,0.527482554,,c.linear2,5.896926478,-0.072777105,0.533764561,,c.hamilton13_panel,7.695921517,1.702301523,0.527172017,,c.poly415,7.81653928,1.755052413,0.517381643
c.poly6,7.327876465,1.299747406,0.52429693,,c.quad15,7.841129462,1.871425879,0.528235547,,c.stm15,7.736260515,1.74264052,0.524551495,,c.poly510,7.695764866,1.634277999,0.514677526
c.stm10,7.788289148,1.760160088,0.516874564,,c.hamilton28t10,7.744574479,1.774870895,0.522142895,,c.stm10,7.758883325,1.76526333,0.524009944,,c.poly520,7.669372588,1.607885721,0.510353923
c.stm20,6.11457707,0.086448011,0.516536113,,c.poly610,7.907116466,1.937412883,0.522102636,,c.linear2,2.899642148,-3.093977847,0.521309462,,c.stm10,7.918662539,1.857175672,0.509481053
c.poly620,7.871237625,1.843108566,0.515179693,,c.poly3,7.962426369,1.992722786,0.521565838,,c.poly5,7.622211596,1.628591601,0.521000523,,c.hamilton13_panel,7.642165248,1.580678381,0.509169437
c.quad15,7.843891962,1.815762903,0.512873343,,c.poly620,7.941318945,1.971615362,0.519874926,,c.hamilton28t10,7.929831349,1.936211354,0.520051902,,c.poly310,7.990673571,1.929186704,0.508884793
c.poly5,7.563427938,1.535298879,0.509192254,,c.poly320,7.912497891,1.942794308,0.517351978,,c.poly620,7.785419101,1.791799106,0.520022825,,c.quad15,7.949535513,1.888048646,0.500510752
c.bn810,4.322014944,-1.706114115,0.507065597,,c.poly5,7.851922101,1.882218518,0.51693596,,c.poly6,7.65191672,1.658296725,0.51704975,,c.poly4,5.995125328,-0.066361539,0.499530567
c.poly515,7.932956285,1.904827225,0.5052582,,c.poly6,7.938441908,1.968738325,0.513956734,,c.stm20,7.425293043,1.431673048,0.510075017,,c.poly3,7.942106079,1.880619213,0.498989973
c.hamilton13_panel,8.028121634,1.999992575,0.49553559,,c.hamilton13_panel,7.950172382,1.980468799,0.513003919,,c.hamilton24t10,7.748662781,1.755042786,0.500363457,,c.poly5,8.036421932,1.974935065,0.491469864
c.hamilton24t10,7.743443937,1.715314877,0.494644103,,c.poly515,7.947758059,1.978054476,0.511782704,,c.poly410,7.76798157,1.774361575,0.49513695,,c.hamilton24t10,8.054783575,1.993296709,0.489660998
c.poly3,8.027591863,1.999462804,0.48688067,,c.stm10,7.730730453,1.76102687,0.504066241,,c.poly3,7.979791944,1.98617195,0.491193446,,c.hp221k20,1.037115269,-5.024371598,0.448542577
c.hamilton28t10,7.991470878,1.963341818,0.482834962,,c.stm15,7.466778303,1.49707472,0.502435719,,c.quad15,7.98863294,1.995012946,0.490884508,,c.hp125k20,-0.152430633,-6.2139175,0.445088974
c.poly4,7.593576228,1.565447169,0.479790649,,c.poly4,7.947818175,1.978114592,0.473750604,,c.bn710,7.980470949,1.986850954,0.484894743,,c.hp400k20,1.883181225,-4.178305641,0.442547839
c.hp125k20,1.848516934,-4.179612125,0.450352408,,c.stm20,7.968278213,1.99857463,0.472026142,,c.poly4,7.839247767,1.845627772,0.472071993,,c.hp25k20,-3.578649455,-9.640136321,0.431611429
c.hp221k20,2.653472236,-3.374656823,0.449548151,,c.hp125k20,7.064523564,1.094819981,0.422553546,,c.hp125k20,5.503699665,-0.48992033,0.440318606,,c.hp3k20,0.064265974,-5.997220893,0.426478656
c.hp400k20,3.212720412,-2.815408647,0.440308793,,c.hp25k20,6.602331745,0.632628162,0.422030168,,c.hp25k20,4.700922204,-1.292697791,0.439817036,,c.hp20,2.109296414,-3.952190452,0.424572805
c.hp25k20,-0.62295134,-6.651080399,0.437386602,,c.hp221k20,7.212953229,1.243249646,0.421104192,,c.hp221k20,5.745268889,-0.248351106,0.439635308,,c.bn510,6.120003121,0.058516254,0.40725314
c.hp3k20,2.908166499,-3.11996256,0.429744417,,c.hp400k20,7.313920887,1.344217304,0.386359976,,c.hp3k20,5.769170858,-0.224449136,0.439511732,,c.bn815,8.011394526,1.949907659,0.366976026
c.hp20,4.713558098,-1.314570961,0.427584613,,c.hp3k20,7.35072655,1.381022966,0.374201514,,c.hp400k20,5.913153558,-0.080466437,0.439059229,,c.bn2,6.136674481,0.075187614,0.342365804
c.bn815,7.401145074,1.373016015,0.383021633,,c.hp20,7.673362432,1.703658849,0.348703634,,c.hp20,6.442330411,0.448710417,0.438203289,,c.bn220,7.629776911,1.568290045,0.336015261